TargetSpeed_m_s_,Second,MedianVelocity_m_s_,MedianVoltage_V_,MedianCurrent_A_,FilteredPower_W_
1,00:00:00,0.04,12.587,28.08,353.44296
1,00:00:01,0.384,12.587,28.245,355.519815
1,00:00:02,0.906,12.587,28.08,353.44296
1,00:00:03,0.951,12.587,28.16,354.44992
1,00:00:04,0.975,12.587,28.08,353.44296
1,00:00:05,0.988,12.587,28.12,353.94644
1,00:00:06,0.987,12.587,28.16,354.44992
1,00:00:07,0.98,12.587,28.08,353.44296
1,00:00:08,0.976,12.587,28.08,353.44296
1,00:00:09,0.977,12.587,28.08,353.44296
1,00:00:10,0.975,12.587,28.08,353.44296
2,00:00:10,0.974,12.587,28.08,353.44296
2,00:00:11,1.284,12.587,28.325,356.526775
2,00:00:12,1.891,12.587,28.16,354.44992
2,00:00:13,1.96,12.587,28.16,354.44992
2,00:00:14,1.9905,12.587,28.16,354.44992
2,00:00:15,1.998,12.587,28.16,354.44992
2,00:00:16,1.993,12.587,28.16,354.44992
2,00:00:17,1.984,12.587,28.08,353.44296
2,00:00:18,1.981,12.587,28.16,354.44992
2,00:00:19,1.983,12.587,28.16,354.44992
2,00:00:20,1.985,12.587,28.16,354.44992
3,00:00:20,1.983,12.587,28.16,354.44992
3,00:00:21,2.189,12.587,28.455,358.163085
3,00:00:22,2.869,12.587,28.16,354.44992
3,00:00:23,2.947,12.587,28.16,354.44992
3,00:00:24,2.989,12.587,28.16,354.44992
3,00:00:25,3.003,12.587,28.16,354.44992
3,00:00:26,2.997,12.587,28.16,354.44992
3,00:00:27,2.987,12.587,28.16,354.44992
3,00:00:28,2.981,12.587,28.16,354.44992
3,00:00:29,2.98,12.587,28.16,354.44992
3,00:00:30,2.978,12.587,28.16,354.44992
4,00:00:31,3.094,12.587,28.49,358.60363
4,00:00:32,3.846,12.587,28.25,355.58275
4,00:00:33,3.942,12.587,28.25,355.58275
4,00:00:34,4.003,12.587,28.25,355.58275
4,00:00:35,4.02,12.587,28.25,355.58275
4,00:00:36,4.006,12.587,28.25,355.58275
4,00:00:37,3.988,12.587,28.25,355.58275
4,00:00:38,3.978,12.587,28.25,355.58275
4,00:00:39,3.977,12.587,28.25,355.58275
4,00:00:40,3.978,12.587,28.25,355.58275
5,00:00:41,4.028,12.587,28.33,356.58971
5,00:00:42,4.819,12.587,28.33,356.58971
5,00:00:43,4.931,12.587,28.33,356.58971
5,00:00:44,4.994,12.587,28.33,356.58971
5,00:00:45,5.0145,12.587,28.33,356.58971
5,00:00:46,5.015,12.587,28.33,356.58971
5,00:00:47,5.012,12.587,28.33,356.58971
5,00:00:48,4.999,12.587,28.33,356.58971
5,00:00:49,4.987,12.587,28.33,356.58971
5,00:00:50,4.978,12.587,28.33,356.58971
5,00:00:51,4.975,12.587,28.33,356.58971
6,00:00:51,4.998,12.587,28.41,357.59667
6,00:00:52,5.797,12.587,28.49,358.60363
6,00:00:53,5.917,12.587,28.49,358.60363
6,00:00:54,5.991,12.587,28.49,358.60363
6,00:00:55,6.018,12.587,28.41,357.59667
6,00:00:56,6.015,12.587,28.41,357.59667
6,00:00:57,6.001,12.587,28.41,357.59667
6,00:00:58,5.992,12.587,28.41,357.59667
6,00:00:59,5.982,12.587,28.41,357.59667
6,00:01:00,5.979,12.587,28.41,357.59667
6,00:01:01,5.9845,12.587,28.41,357.59667
7,00:01:01,6.0875,12.587,28.825,362.820275
7,00:01:02,6.795,12.587,28.74,361.75038
7,00:01:03,6.917,12.587,28.66,360.74342
7,00:01:04,6.988,12.587,28.66,360.74342
7,00:01:05,7.017,12.587,28.66,360.74342
7,00:01:06,7.017,12.587,28.66,360.74342
7,00:01:07,7.001,12.587,28.66,360.74342
7,00:01:08,6.988,12.587,28.66,360.74342
7,00:01:09,6.981,12.587,28.66,360.74342
7,00:01:10,6.9805,12.587,28.66,360.74342
7,00:01:11,6.98,12.587,28.66,360.74342
8,00:01:11,7.0365,12.587,28.87,363.38669
8,00:01:12,7.759,12.587,29.24,368.04388
8,00:01:13,7.898,12.587,28.99,364.89713
8,00:01:14,7.989,12.587,29.08,366.02996
8,00:01:15,8.033,12.587,29.08,366.02996
8,00:01:16,8.047,12.587,28.99,364.89713
8,00:01:17,8.025,12.587,28.99,364.89713
8,00:01:18,7.994,12.587,28.99,364.89713
8,00:01:19,7.978,12.587,28.99,364.89713
8,00:01:20,7.9715,12.587,28.99,364.89713
8,00:01:21,7.971,12.587,28.99,364.89713
9,00:01:21,8.022,12.587,29.16,367.03692
9,00:01:22,8.712,12.587,29.82,375.34434
9,00:01:23,8.868,12.587,29.57,372.19759
9,00:01:24,8.971,12.587,29.57,372.19759
9,00:01:25,9.025,12.587,29.57,372.19759
9,00:01:26,9.026,12.587,29.49,371.19063
9,00:01:27,9.0105,12.587,29.49,371.19063
9,00:01:28,9.013,12.587,29.57,372.19759
9,00:01:29,9.013,12.587,29.49,371.19063
9,00:01:30,8.997,12.587,29.49,371.19063
9,00:01:31,8.988,12.587,29.49,371.19063
10,00:01:31,8.998,12.587,29.49,371.19063
10,00:01:32,9.549,12.587,30.82,387.93134
10,00:01:33,9.796,12.587,30.24,380.63088
10,00:01:34,9.923,12.587,30.365,382.204255
10,00:01:35,10.013,12.587,30.32,381.63784
10,00:01:36,10.0315,12.587,30.32,381.63784
10,00:01:37,10.023,12.587,30.24,380.63088
10,00:01:38,10.008,12.587,30.24,380.63088
10,00:01:39,9.999,12.587,30.24,380.63088
10,00:01:40,9.993,12.587,30.24,380.63088
10,00:01:41,9.984,12.587,30.24,380.63088
11,00:01:41,9.989,12.587,30.24,380.63088
11,00:01:42,10.127,12.587,30.65,385.79155
11,00:01:43,10.229,12.587,30.57,384.78459
11,00:01:44,10.28,12.587,30.57,384.78459
11,00:01:45,10.306,12.587,30.57,384.78459
11,00:01:46,10.321,12.587,30.57,384.78459
11,00:01:47,10.325,12.587,30.57,384.78459
11,00:01:48,10.329,12.587,30.57,384.78459
11,00:01:49,10.336,12.587,30.57,384.78459
11,00:01:50,10.335,12.587,30.57,384.78459
11,00:01:51,10.334,12.587,30.49,383.77763
12,00:01:51,10.333,12.587,30.49,383.77763
12,00:01:52,10.332,12.587,30.49,383.77763
12,00:01:53,10.333,12.587,30.57,384.78459
12,00:01:54,10.334,12.587,30.57,384.78459
12,00:01:55,10.332,12.587,30.57,384.78459
12,00:01:56,10.328,12.587,30.49,383.77763
12,00:01:57,10.313,12.587,30.49,383.77763
12,00:01:58,10.31,12.587,30.57,384.78459
12,00:01:59,10.316,12.587,30.57,384.78459
12,00:02:00,10.322,12.587,30.49,383.77763
12,00:02:01,10.326,12.587,30.49,383.77763
13,00:02:01,10.327,12.587,30.49,383.77763
13,00:02:02,10.329,12.587,30.49,383.77763
13,00:02:03,10.329,12.587,30.49,383.77763
13,00:02:04,10.329,12.587,30.49,383.77763
13,00:02:05,10.329,12.587,30.49,383.77763
13,00:02:06,10.328,12.587,30.49,383.77763
13,00:02:07,10.329,12.587,30.49,383.77763
13,00:02:08,10.329,12.587,30.57,384.78459
13,00:02:09,10.32,12.587,30.49,383.77763
13,00:02:10,10.309,12.587,30.49,383.77763
13,00:02:11,10.31,12.587,30.49,383.77763
14,00:02:11,10.3115,12.587,30.57,384.78459
14,00:02:12,10.313,12.587,30.53,384.28111
14,00:02:13,10.319,12.587,30.49,383.77763
14,00:02:14,10.324,12.587,30.49,383.77763
14,00:02:15,10.326,12.587,30.57,384.78459
14,00:02:16,10.328,12.587,30.57,384.78459
14,00:02:17,10.329,12.587,30.57,384.78459
14,00:02:18,10.33,12.587,30.57,384.78459
14,00:02:19,10.329,12.587,30.57,384.78459
14,00:02:20,10.326,12.587,30.57,384.78459
14,00:02:21,10.324,12.587,30.57,384.78459
15,00:02:21,10.325,12.587,30.49,383.77763
15,00:02:22,10.326,12.587,30.57,384.78459
15,00:02:23,10.3265,12.587,30.49,383.77763
15,00:02:24,10.314,12.587,30.49,383.77763
15,00:02:25,10.3095,12.587,30.49,383.77763
15,00:02:26,10.313,12.587,30.49,383.77763
15,00:02:27,10.318,12.587,30.57,384.78459
15,00:02:28,10.322,12.587,30.57,384.78459
15,00:02:29,10.324,12.587,30.57,384.78459
15,00:02:30,10.325,12.587,30.49,383.77763
15,00:02:31,10.3255,12.587,30.49,383.77763
